变动日期,变动类型,公司,岗位,岗位发布时间,URL
2026-07-01,下架,字节跳动,资深C端产品经理-Gauth,2020-08-25 16:34:56,https://jobs.bytedance.com/experienced/position/6864836370575640846/detail
2026-07-01,下架,字节跳动,语言学习类AI产品经理-Gauth,2026-02-10 15:41:28,https://jobs.bytedance.com/experienced/position/7605138439006685445/detail
2026-07-01,下架,字节跳动,虚拟人产品经理（游戏引擎&虚拟形象方向）-抖音,2026-05-15 14:44:10,https://jobs.bytedance.com/experienced/position/7640005631806490885/detail
2026-07-01,下架,字节跳动,营销产品经理（投放优化方向）-技术中台,2026-06-18 17:16:36,https://jobs.bytedance.com/experienced/position/7652661591710288133/detail
2026-07-01,下架,字节跳动,营销C端产品经理-抖音电商,2026-04-27 11:23:08,https://jobs.bytedance.com/experienced/position/7633273928761510197/detail
2026-07-01,下架,字节跳动,网管平台运维产品经理-基础设施,2026-06-22 11:26:31,https://jobs.bytedance.com/experienced/position/7654055256297490741/detail
2026-07-01,下架,字节跳动,社交产品经理-TikTok,2026-05-11 14:30:40,https://jobs.bytedance.com/experienced/position/7638517648654387509/detail
2026-07-01,下架,字节跳动,硬件产品经理-AI创新业务,2026-03-12 19:46:58,https://jobs.bytedance.com/experienced/position/7616334070452734261/detail
2026-07-01,下架,字节跳动,研发平台AI产品经理-Dev Infra,2025-02-12 15:37:09,https://jobs.bytedance.com/experienced/position/7470432989257959698/detail
2026-07-01,下架,字节跳动,直播间用户产品经理-抖音电商,2026-05-19 16:29:31,https://jobs.bytedance.com/experienced/position/7641517040751659269/detail
2026-07-01,下架,字节跳动,用户产品经理（职人成长方向）-抖音生活服务,2025-03-13 22:45:33,https://jobs.bytedance.com/experienced/position/7481302578857396498/detail
2026-07-01,下架,字节跳动,用户产品经理（电商图文方向）-TikTok Shop,2026-05-11 12:17:19,https://jobs.bytedance.com/experienced/position/7638482545135175989/detail
2026-07-01,下架,字节跳动,生态平台产品经理-火山引擎（北京/上海/深圳）,2024-05-27 14:41:09,https://jobs.bytedance.com/experienced/position/7373565710050511114/detail
2026-07-01,下架,字节跳动,数据安全产品经理-AI创新业务,2026-02-25 11:28:26,https://jobs.bytedance.com/experienced/position/7610639456902908165/detail
2026-07-01,下架,字节跳动,数据基建产品经理-集团信息系统,2025-10-11 14:55:48,https://jobs.bytedance.com/experienced/position/7559852733760243975/detail
2026-07-01,下架,字节跳动,数据基建产品经理-集团信息系统,2025-09-11 16:24:04,https://jobs.bytedance.com/experienced/position/7548744081137535250/detail
2026-07-01,下架,字节跳动,数据产品经理（商家方向）-抖音生活服务,2024-05-10 20:00:16,https://jobs.bytedance.com/experienced/position/7367339421547563314/detail
2026-07-01,下架,字节跳动,撮合平台产品经理（商家经营方向）-抖音电商（北京）,2026-03-26 16:26:16,https://jobs.bytedance.com/experienced/position/7621477643783178549/detail
2026-07-01,下架,字节跳动,抖音高级平台产品经理-抖音,2026-04-14 11:52:24,https://jobs.bytedance.com/experienced/position/7628457788331559221/detail
2026-07-01,下架,字节跳动,抖音电商站外CPS业务产品经理（电商联盟）-穿山甲（北京/上海）,2026-05-27 19:25:38,https://jobs.bytedance.com/experienced/position/7644530984033913141/detail
2026-07-01,下架,字节跳动,投稿功能产品经理-TikTok旗下图文独立端,2026-01-29 12:02:57,https://jobs.bytedance.com/experienced/position/7600628951331834117/detail
2026-07-01,下架,字节跳动,投稿功能产品经理-TikTok旗下图文独立端,2026-01-29 11:53:37,https://jobs.bytedance.com/experienced/position/7600626006446377269/detail
2026-07-01,下架,字节跳动,小游戏产品经理-抖音,2025-04-02 11:52:55,https://jobs.bytedance.com/experienced/position/7488557298413144327/detail
2026-07-01,下架,字节跳动,增长策略产品经理（独立端方向）-抖音,2026-02-26 15:15:12,https://jobs.bytedance.com/experienced/position/7611068912851863861/detail
2026-07-01,下架,字节跳动,商家经营治理策略产品经理（健康分方向）-TikTok Shop,2026-06-23 20:21:06,https://jobs.bytedance.com/experienced/position/7654564211297782069/detail
2026-07-01,下架,字节跳动,商家经营治理策略产品经理（健康分方向）-TikTok Shop,2026-06-16 12:12:39,https://jobs.bytedance.com/experienced/position/7651841128621132037/detail
2026-07-01,下架,字节跳动,商家端产品经理（体验优化）-抖音生活服务,2024-05-29 19:43:30,https://jobs.bytedance.com/experienced/position/7374385842502879539/detail
2026-07-01,下架,字节跳动,商家端产品经理（体验优化）-抖音生活服务,2024-05-29 19:42:54,https://jobs.bytedance.com/experienced/position/7374385623858268454/detail
2026-07-01,下架,字节跳动,商家端产品经理-抖音生活服务,2024-03-28 14:56:00,https://jobs.bytedance.com/experienced/position/7351304460650891558/detail
2026-07-01,下架,字节跳动,商家增长AI产品经理-抖音电商,2026-04-13 11:43:46,https://jobs.bytedance.com/experienced/position/7628084252005140741/detail
2026-07-01,下架,字节跳动,商家产品经理（招商入驻）-TikTok生活服务,2026-01-29 10:27:34,https://jobs.bytedance.com/experienced/position/7600604192977389829/detail
2026-07-01,下架,字节跳动,商业化产品经理（广告平台&策略）-国际化,2025-04-18 12:22:31,https://jobs.bytedance.com/experienced/position/7494499736948656392/detail
2026-07-01,下架,字节跳动,创作者工具产品经理-抖音生活服务,2025-08-11 11:35:02,https://jobs.bytedance.com/experienced/position/7537166145301694727/detail
2026-07-01,下架,字节跳动,创作者产品经理（达人孵化方向）-TikTok Shop,2026-06-17 15:16:40,https://jobs.bytedance.com/experienced/position/7652259662441924869/detail
2026-07-01,下架,字节跳动,创作者产品经理（达人孵化方向）-TikTok Shop,2026-06-17 15:16:01,https://jobs.bytedance.com/experienced/position/7652258771961350405/detail
2026-07-01,下架,字节跳动,内容社区产品经理-抖音搜索,2025-04-16 16:41:55,https://jobs.bytedance.com/experienced/position/7493828480070633736/detail
2026-07-01,下架,字节跳动,内容产品经理-TikTok生活服务,2026-02-04 16:50:48,https://jobs.bytedance.com/experienced/position/7602929425096886533/detail
2026-07-01,下架,字节跳动,人才系统AI产品经理-管理研究院,2026-01-21 12:20:35,https://jobs.bytedance.com/experienced/position/7597663577026447669/detail
2026-07-01,下架,字节跳动,交易搜索营销产品经理-抖音搜索,2026-04-14 15:26:19,https://jobs.bytedance.com/experienced/position/7628512643581659445/detail
2026-07-01,下架,字节跳动,互动策略产品经理-红果短剧,2025-08-18 14:59:35,https://jobs.bytedance.com/experienced/position/7539816205835946248/detail
2026-07-01,下架,字节跳动,AI音乐工具产品经理-抖音,2026-04-23 20:24:31,https://jobs.bytedance.com/experienced/position/7631928601329731845/detail
2026-07-01,下架,字节跳动,AI策略产品经理（大模型应用方向）-抖音UGC,2025-11-26 10:57:50,https://jobs.bytedance.com/experienced/position/7576862126063634693/detail
2026-07-01,下架,字节跳动,AI策略产品经理-国际化业务,2025-02-24 19:54:48,https://jobs.bytedance.com/experienced/position/7474950346042034439/detail
2026-07-01,下架,字节跳动,AI策略产品经理-Gauth,2024-08-08 20:02:44,https://jobs.bytedance.com/experienced/position/7400736893523249445/detail
2026-07-01,下架,字节跳动,AI硬件产品经理（交易履约方向）-抖音生活服务,2026-05-27 18:57:49,https://jobs.bytedance.com/experienced/position/7644524053193836853/detail
2026-07-01,下架,字节跳动,AI短剧产品经理-TikTok,2026-03-25 14:50:55,https://jobs.bytedance.com/experienced/position/7621082075197901109/detail
2026-07-01,下架,字节跳动,AI应用产品经理-抖音生活服务,2026-02-11 17:05:11,https://jobs.bytedance.com/experienced/position/7605531121644652805/detail
2026-07-01,下架,字节跳动,AI商业化产品经理-剪映CapCut,2025-10-29 16:36:04,https://jobs.bytedance.com/experienced/position/7566558149944232197/detail
2026-07-01,下架,字节跳动,AI产品经理（搜索方向）-飞书项目,2026-04-10 21:44:55,https://jobs.bytedance.com/experienced/position/7627125252828481845/detail
2026-07-01,下架,字节跳动,AI产品经理（国际电商方向）-剪映CapCut,2026-03-16 21:08:39,https://jobs.bytedance.com/experienced/position/7617839326168844549/detail
2026-07-01,下架,字节跳动,AI产品经理-ArkClaw,2026-03-11 16:38:31,https://jobs.bytedance.com/experienced/position/7615914486223603973/detail
2026-07-01,下架,字节跳动,AI产品经理-AI创新业务,2025-02-11 15:48:41,https://jobs.bytedance.com/experienced/position/7470062770294655239/detail
2026-07-01,下架,字节跳动,AIGC模型产品经理（生成式广告）-中国广告产品,2025-10-14 16:16:00,https://jobs.bytedance.com/experienced/position/7560987484038039869/detail
